Date,Task,Notes
"03/01/2026","Cleaned coop floor","Removed old bedding"
"03/02/2026","Refilled waterers","Fresh water added"
"03/03/2026","Cleaned nesting boxes","Replaced straw"
"03/04/2026","Scrubbed feeders","Removed buildup"
"03/05/2026","Dust bath refill","Added sand"
"03/06/2026","Coop sweep","Light cleaning"
"03/07/2026","Water change","Daily refresh"
"03/08/2026","Nesting boxes clean","Fresh bedding"
"03/09/2026","Feeder cleaning","Washed thoroughly"
"03/10/2026","Full coop clean","Deep clean"
"03/11/2026","Water refill","Fresh supply"
"03/12/2026","Dust bath check","Added ash"
"03/13/2026","Sweep coop","Quick cleanup"
"03/14/2026","Clean roost bars","Vinegar wipe"
"03/15/2026","Waterers cleaned","Scrubbed"
"03/16/2026","Feeder refill","Topped off"
"03/17/2026","Nesting refresh","New straw"
"03/18/2026","Coop sweep","Removed waste"
"03/19/2026","Water change","Clean water"
"03/20/2026","Full clean","Deep scrub"
