Date,Category,Description,Amount
"03/01/2026","Feed","Layer pellets purchase",18.99
"03/02/2026","Supplies","New feeder",22.5
"03/04/2026","Bedding","Pine shavings",9.48
"03/06/2026","Health","Electrolytes",7.25
"03/08/2026","Feed","Scratch grains",12.5
"03/10/2026","Feed","Layer pellets",19.25
"03/12/2026","Supplies","Water container",15.99
"03/14/2026","Bedding","More pine shavings",10.25
"03/16/2026","Feed","Layer pellets",18.75
"03/18/2026","Health","Vitamins",8.99
"03/20/2026","Supplies","Coop latch",6.5
"03/22/2026","Feed","Scratch grains",14.25
"03/24/2026","Bedding","Straw",11
"03/26/2026","Feed","Layer pellets",19
"03/28/2026","Supplies","Egg cartons",5.75
"03/30/2026","Health","Wound spray",9.5
"04/01/2026","Feed","Layer pellets",19.35
"04/03/2026","Bedding","Shavings",10.75
"04/05/2026","Feed","Scratch grains",14.75
"04/07/2026","Supplies","Bucket",7.99
