Date,Feed Type,Quantity,Cost
"03/01/2026","Layer Pellets",40,18.99
"03/03/2026","Scratch Grains",25,12.5
"03/05/2026","Layer Pellets",40,19.25
"03/07/2026","Oyster Shell",5,6.49
"03/10/2026","Starter Crumble",10,8.75
"03/12/2026","Layer Pellets",40,18.75
"03/15/2026","Scratch Grains",30,14.25
"03/17/2026","Layer Pellets",40,19.1
"03/19/2026","Oyster Shell",5,6.75
"03/21/2026","Layer Pellets",40,19.5
"03/23/2026","Scratch Grains",25,13
"03/25/2026","Layer Pellets",40,19
"03/27/2026","Starter Crumble",10,9
"03/29/2026","Layer Pellets",40,19.35
"04/01/2026","Scratch Grains",30,14.75
"04/03/2026","Layer Pellets",40,19.6
"04/05/2026","Oyster Shell",5,6.99
"04/06/2026","Layer Pellets",40,19.49
"04/07/2026","Scratch Grains",25,13.5
"04/08/2026","Layer Pellets",40,19.8
